Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget,Cast Member,Cast Member Frequency,Director,Title Word,Title Word Frequency,Description Word,Description Word Frequency,Genres Word,Genres Frequency,Headline Word,Headline Frequency,Headline Percent 
Strangers Within," Drama,  Horror,  Thriller",24-Apr-17,UK,,4.4,95 min,"Directed by Liam Hooper. With Elana Di Troya, Owen Bleach, Rosie Taylor-Ritson, Flynn Horne. Sam and her friends are terrorised during a party by a group of young men on a desperate hunt for something in her house.","Elana Di Troya, Owen Bleach, Rosie Taylor-Ritson, Flynn Horne, Nadja Zachary, Calum Scrivens, Jorja Fox, Jonathan Raggett, Tony Burden, Sam Chittenden, Matt Robinson, Tim Crowther, Neil James, Greg Raggett, Warren Saunders",English,"Clappers Lane, Henfield, East Sussex, England, UK",,Anatole Taubman,2.0,Liam Hooper,state,2.0,weapons,7.0,,,CA,2,0.001003593
Reaper," Crime,  Horror,  Sci-Fi,  Thriller",6-Jun-15,USA,NOT RATED,5.0,90 min,"Directed by Wen-Han Shih. With Danny Trejo, Vinnie Jones, Jake Busey, Shayla Beesley. Criminals and a beautiful but cunning hitchhiker battle a supernatural force known as the Reaper.","Danny Trejo, Vinnie Jones, Jake Busey, Shayla Beesley, James Jurdi, Christopher Judge, Justin Henry, William Shockley, Gabriel Jarret, Mike Michaels, Ian Fisher, Dustin Aremburg, Shay Moulder, Joshua Neyman, Michael Rudie",English,,,Ali Larter,2.0,Wen-Han Shih,visceral,2.0,spiritual,7.0,,,Cadillac,2,0.001003593
Scathing," Horror,  Thriller",15-Nov-16,USA,,6.8,83 min,"Directed by Joseph Mazzaferro. With John Kyle, Allie Sparks, Michael Frascino, Chris Shepardson. A young couple are stranded in a remote location for several days without food or water, while a massive, giant, madman stalks their every move, proving it impossible for them to escape unscathed.","John Kyle, Allie Sparks, Michael Frascino, Chris Shepardson, Paola Duque, William Haze, Lori Katz, Lisa Arcaro, Herb Dorsey, George Petrick, Gail Mazzaferro, Joey Mazzaferro, Bob Glazier, David E. McMahon",English,"Tampa, Florida, USA",,Lakshmi Priyaa Chandramouli,2.0,Joseph Mazzaferro,pandemic,1.0,possesses,7.0,,,Caller,2,0.001003593
Dementia," Horror,  Thriller",4-Dec-15,USA,NOT RATED,5.1,90 min,"Directed by Mike Testin. With Gene Jones, Kristina Klebe, Hassie Harrison, Peter Cilella. After being diagnosed with Dementia, an elderly war veteran is forced by his estranged family to hire a live-in nurse, only to find she harbors a sinister secret.","Gene Jones, Kristina Klebe, Hassie Harrison, Peter Cilella, Richard Riehle, Steve Agee, Julian Bane, Justin Benson, Morgan Peter Brown, Joe Burke, Tony Denison, Molly McQueen, Ruben Pla, Marc Senter, Graham Skipper",English,"Los Angeles, California, USA",,Terele Pávez,2.0,Mike Testin,smokehouse,1.0,brennan,7.0,,,Cams,2,0.001003593
Barbarous Mexico, Horror,23-Aug-15,Japan,NOT RATED,5.0,114 min,"Directed by Isaac Ezban, Laurette Flores Bornn, Jorge Michel Grau. With Adrián Aguirre, Dulce Alexa, Leslie Arce, Leif Bridgman. Eight Mexican directors unite to bring tales of the most brutally terrifying Mexican traditions and legends to vividly shocking life.","Adrián Aguirre, Dulce Alexa, Leslie Arce, Leif Bridgman, Sara Camacho, Gabriel Carter, Ana Castro, Mayra Angelica Chavez, Shana Chow, Diana Contreras, Joyce Cuervo, Ana Rosa Davila, Aria DeMaris, Ken Dresen, Mayra Espinoza",Spanish,,,Itsuji Itao,2.0,"Isaac Ezban, Laurette Flores Bornn, Jorge Michel Grau",veendum,1.0,dallas,7.0,,,Cancer-Free,2,0.001003593
Danur See Ghosts, Horror,30-Mar-17,Indonesia,,5.8,,"Directed by Awi Suryadi. With Prilly Latuconsina, Shareefa Daanish, Wesley Andrew, Asha Kenyeri Bermudez. The girl who get a friendship with 3 ghosts.","Prilly Latuconsina, Shareefa Daanish, Wesley Andrew, Asha Kenyeri Bermudez, Indra Brotolaras, Kevin Bzezovski, Emiliano Fernando Cortizo, Kinaryosih, Sandrinna Michelle, Deny Danu Prasetia, Ingrid Widjanarko",Indonesian,,,Mindy Faulkner,2.0,Awi Suryadi,alanngui,1.0,crumbling,7.0,,,Canned,2,0.001003593
Gifted," Comedy,  Horror,  Romance,  Thriller",3-Sep-14,Philippines,,6.5,,"Directed by Chris Martinez. With Anne Curtis, Cristine Reyes, Sam Milby, Arlene Muhlach. Childhood best friends who are both geniuses in school eventually become bittersweet rivals for campus athlete Mark Ferrer. Zoe Tuazon is a rich, overweight and aggressive mestiza, while Aica Tabayoyong is a poor nerdy student with a bad case of teenage acne and nearsightedness. In an effort to outsmart and outclass each other, Zoe and Aica each undergo cosmetic surgery and become ravishing ...","Anne Curtis, Cristine Reyes, Sam Milby, Arlene Muhlach, Ricky Rivero, Candy Pangilinan, Dominic Ochoa, Abby Bautista, Alliyah Fatima Dela Riva, Kevin Kier Remo, Raquel Villavicencio, Roden Araneta, Isay Alvarez, Ana Abad Santos, Jelson Bay",Filipino|Tagalog|English,,,Samantha Sloyan,2.0,Chris Martinez,anabel,1.0,resurrect,7.0,,,Cannon,2,0.001003593
Indigenous, Horror,5-Jan-16,USA,R,5.3,86 min,"Directed by Alastair Orr. With Zachary Soetenga, Lindsey McKeon, Sofia Pernas, Pierson Fode. American Tourists travel to Panama and have a very terrifying experience.","Zachary Soetenga, Lindsey McKeon, Sofia Pernas, Pierson Fode, Jamie Anderson, Mark Steger, Juanxo Villaverde, Laura Penuela, Jaime Newball, Ana Alejandra Carrizo, Michael Mealor, Yana Galuz",English|Spanish,Panama,,Kim Mulhauser,2.0,Alastair Orr,antihuman,1.0,jacobs,7.0,,,Cans,2,0.001003593
Innocence," Adventure,  Fantasy,  Horror,  Mystery,  Romance,  Thriller",11-Jan-16,Sweden,PG-13,4.5,96 min,"Directed by Hilary Brougher. With Sophie Lane Curtis, Kelly Reilly, Graham Phillips, Linus Roache. A young woman discovers her elite Manhattan preparatory school harbors a dark secret.","Sophie Lane Curtis, Kelly Reilly, Graham Phillips, Linus Roache, Sarah Sutherland, Stephanie March, Perrey Reeves, Liya Kebede, Sarita Choudhury, Annie Q., Mikal Evans, Daniel Zovatto, Evelina Turen, Rachel Heller, Noelle Beck",English,"Montauk, New York, USA",,Kristyn Chalker,2.0,Hilary Brougher,barbarous,1.0,christie,7.0,,,Canyon,2,0.001003593
Friends," Comedy,  Horror",7-Jan-14,Netherlands,R,4.5,80 min,"Directed by Danielle Harris. With Alyssa Lobit, Jennifer Blanc-Biehn, Kamala Jones, AJ Bowen. A group of friends get together for a murder mystery party, but things take a dark turn when one hijacks the evening and is out for blood.","Alyssa Lobit, Jennifer Blanc-Biehn, Kamala Jones, AJ Bowen, Brianne Davis, Christopher Backus, Dana Daurey, Chris Meyer, Kane Hodder, Bryan Kirkwood, Denny Kirkwood, Amber West, Matthew Ziff, Lorraine Ziff, Nate Vormehr",English,"Los Angeles, California, USA",,John Kap,2.0,Danielle Harris,beaster,1.0,sole,7.0,,,Capabilities,2,0.001003593
Go Goa Gone," Action,  Adventure,  Comedy,  Horror",10-May-13,India,NOT RATED,6.7,108 min,"Directed by Krishna D.K., Raj Nidimoru. With Saif Ali Khan, Kunal Khemu, Vir Das, Anand Tiwari. A group of friends, just looking to have a good time in a rave party on a remote island in Goa, find out that the island is infested with Zombies.","Saif Ali Khan, Kunal Khemu, Vir Das, Anand Tiwari, Puja Gupta, Hardik Malaviya, Soha Ali Khan, Pitobash, Suparn Verma",Hindi,,,James Chalke,2.0,Krishna D,believe,1.0,bean,7.0,,,Capable,2,0.001003593
Monkey 's Paw," Horror,  Thriller",8-Oct-13,USA,NOT RATED,4.5,91 min,"Directed by Brett Simmons. With C.J. Thomason, Stephen Lang, Michelle Pierce, Corbin Bleu. Jake is given a monkey's paw that grants three wishes. After the first two wishes leave his friend Cobb undead, Cobb pushes Jake to make a final wish.","C.J. Thomason, Stephen Lang, Michelle Pierce, Corbin Bleu, Daniel Hugh Kelly, Charles S. Dutton, Tauvia Dawn, Andy Favreau, Grayson Berry, Sabrina Gennarino, John Lewis, Adella Gautier, Brooklyn Proctor, Jacob Robinson, Jason Stanly",English,"New Orleans, Louisiana, USA",,Masaya Katô,2.0,Brett Simmons,belmont,1.0,childs,7.0,,,Cap-And-Trade,2,0.001003593
Juan Dead," Action,  Comedy,  Horror",13-Jan-12,Spain,NOT RATED,6.5,92 min,"Directed by Alejandro Brugués. With Alexis Díaz de Villegas, Jorge Molina, Andros Perugorría, Andrea Duro. A group of slackers face an army of zombies. The Cuban government and media claim the living dead are dissidents revolting against the government.","Alexis Díaz de Villegas, Jorge Molina, Andros Perugorría, Andrea Duro, Jazz Vilá, Eliecer Ramírez, Blanca Rosa Blanco, Susana Pous, Antonio Dechent, Eslinda Núñez, Elsa Camp, Pablo Alexandro González Ramy, Juan Miguel Mas, Argelio Sosa, Marisol Egurrola",Spanish|English,"Havana, Cuba",,Heidi Moore,2.0,Alejandro Brugués,burn,1.0,gods,7.0,,,Capps,2,0.001003593
Sacrilege, Horror,2-May-17,USA,NOT RATED,3.2,,"Directed by Paul Catalanotto. With Kim Baptiste, Megan Few, Jenn Foreman, Chad Graham. Carefree and desperate to avoid any responsibility, Jessica, a college student, visits a yard sale to buy a gift for her best friend. However, the music box she brings home is haunted by a vicious demonic entity eager to feed off the lives of all who hear the box's melody. After her best friend takes her own life, Jessica seeks the aid of two ghost hunters, but they too find themselves out of ...","Kim Baptiste, Megan Few, Jenn Foreman, Chad Graham, Daniel Levy, Greg Pearson, Jordan Salloum, Carmen Tonry, Christine Tonry",English,,,Momoha,2.0,Paul Catalanotto,circles,1.0,lukas,7.0,,,Captivity,2,0.001003593
